DATETIME,NDWI_10M
2015-10-20 14:49:26.460,0.31544683369500887
2015-10-20 14:56:41.387,0.30786069651741294
2015-12-09 14:56:17.000,0.35752638400296244
2015-12-09 14:56:17.620,0.35752638400296244
2016-03-18 14:55:13.292,0.13022888713496447
2016-04-07 14:56:20.461,0.2922744462452728
2016-04-07 14:56:32.060,0.2956548161652993
2016-06-16 14:56:24.462,0.36690318150606543
2016-06-16 14:56:36.535,0.3673190714610833
2016-07-06 14:56:25.461,0.3080188679245283
2016-07-06 14:56:25.461,0.3080188679245283
2016-07-16 14:52:12.260,0.25779967159277506
2016-07-16 14:52:12.260,0.25779967159277506
2016-07-26 14:56:26.460,0.31267345050878814
2016-07-26 14:56:38.354,0.35222492804959044
2016-08-05 14:55:34.289,0.2976049324164098
2016-08-05 14:56:40.303,0.3448974994368101
2016-08-15 14:56:25.457,0.2789303826648225
2016-08-15 14:56:37.280,0.31883102614809933
2016-08-25 14:47:32.457,0.2833218628125717
2016-08-25 14:47:32.460,0.2833218628125717
2016-09-14 14:49:44.557,0.2271853986551393
2016-09-14 14:49:44.560,0.2271853986551393
2016-10-04 14:49:03.868,0.3112413035518125
2016-10-04 14:49:03.870,0.3112413035518125
2016-10-04 14:56:20.409,0.3112413035518125
2016-10-04 14:56:20.410,0.3112413035518125
2017-04-02 14:52:34.120,0.12977728897442947
2017-04-12 14:56:21.460,0.34965034965034963
2017-05-02 14:56:36.447,0.3873438129786376
2017-06-11 14:56:23.460,0.33933222827373904
2017-07-11 14:47:35.070,0.30105263157894735
2017-07-16 14:50:02.985,0.3290748898678414
2017-07-21 14:56:35.384,0.3547814510761038
2017-07-26 14:56:34.250,0.3226461955294649
2017-08-25 14:56:32.323,0.25976470588235295
2017-08-30 14:56:22.460,0.24018691588785046
2017-09-04 14:56:27.537,0.23400191021967526
2017-09-19 14:56:30.265,0.25210084033613445
2017-10-04 14:55:36.940,0.267038148306901
2017-10-09 14:56:35.354,0.26906957250628666
2017-10-19 14:49:47.550,0.21041579168416633
2017-11-03 14:56:09.460,0.2857977790765634
