ORIGINAL ORDER,MONTH,HABITAT,PLOP,SUB,TAG,INDICADOR,FAMILY,Nombre científico,GENERO,Especie,B,F,UF,RF,D,OBS,N,DATE,YEAR,TEMPERATURE,RAIN,GENERO_limpio,Rol_Agroforestal
2320,1,Bosque de Tierra Firme,TF2,3b,654,NO,Fabaceae,Inga sapindoides Willd.,Inga,sapindoides,0,0,0,0,0,,0,2010-01-08,2010,24.160714285714285,491.00000000000017,Inga,Ingeniero del Suelo - Fijador N
2325,1,Bosque de Tierra Firme,TF2,4a,661,NO,Euphorbiaceae,Hevea guianensis Aubl.,Hevea,guianensis,0,0,0,0,0,,0,2010-01-08,2010,24.160714285714285,491.00000000000017,Hevea,Estrella Comercial - Industrial
2331,1,Bosque de Tierra Firme,TF2,4a,669,NO,Fabaceae,Tachigali vasquezii Pipoly,Tachigali,vasquezii,0,0,0,0,0,,0,2010-01-08,2010,24.160714285714285,491.00000000000017,Tachigali,Ingeniero del Suelo - Fijador N
2336,1,Bosque de Tierra Firme,TF2,4a,674,NO,Meliaceae,Cedrela fissilis Vell.,Cedrela,fissilis,0,0,0,0,0,,0,2010-01-08,2010,24.160714285714285,491.00000000000017,Cedrela,Caja Fuerte - Maderable
2342,1,Bosque de Tierra Firme,TF2,4b,681,NO,Malvaceae,Theobroma speciosum Willd. ex Spreng.,Theobroma,speciosum,0,0,0,0,0,,0,2010-01-08,2010,24.160714285714285,491.00000000000017,Theobroma,Estrella Comercial - Frutal
2347,1,Bosque de Tierra Firme,TF2,4b,687,NO,Urticaceae,Cecropia sciadophylla Mart.,Cecropia,sciadophylla,0,0,0,0,0,,0,2010-01-08,2010,24.160714285714285,491.00000000000017,Cecropia,Ingeniero del Suelo - Pionera
2355,1,Bosque de Tierra Firme,TF2,5a,695,NO,Arecaceae,Bactris gasipaes Kunth,Bactris,gasipaes,0,0,0,0,0,,0,2010-01-08,2010,24.160714285714285,491.00000000000017,Bactris,Estrella Comercial - Frutal
2358,1,Bosque de Tierra Firme,TF2,5a,698,NO,Meliaceae,Cedrela fissilis Vell.,Cedrela,fissilis,0,0,0,0,0,,0,2010-01-08,2010,24.160714285714285,491.00000000000017,Cedrela,Caja Fuerte - Maderable
2378,1,Bosque de Tierra Firme,TF3,1b,721,NO,Moraceae,Brosimum rubescens Taub.,Brosimum,rubescens,0,0,0,0,0,,0,2010-01-08,2010,24.160714285714285,491.00000000000017,Brosimum,Caja Fuerte - Maderable
2398,1,Bosque de Tierra Firme,TF3,2b,746,NO,Euphorbiaceae,Hevea guianensis Aubl.,Hevea,guianensis,0,0,0,0,0,,0,2010-01-08,2010,24.160714285714285,491.00000000000017,Hevea,Estrella Comercial - Industrial
2400,1,Bosque de Tierra Firme,TF3,2b,749,NO,Fabaceae,Cedrelinga catenaeformis (Ducke) Ducke,Cedrelinga,catenaeformis,0,0,0,0,0,,0,2010-01-08,2010,24.160714285714285,491.00000000000017,Cedrelinga,Caja Fuerte - Maderable / Fijador N
2403,1,Bosque de Tierra Firme,TF3,3a,756,NO,Fabaceae,Inga alba (Sw.) Willd.,Inga,alba,0,0,0,0,0,,0,2010-01-08,2010,24.160714285714285,491.00000000000017,Inga,Ingeniero del Suelo - Fijador N
2410,1,Bosque de Tierra Firme,TF3,4a,765,NO,Apocynaceae,Aspidosperma vargasii A.DC.,Aspidosperma,vargasii,0,0,0,0,0,,0,2010-01-08,2010,24.160714285714285,491.00000000000017,Aspidosperma,Caja Fuerte - Maderable
2419,1,Bosque de Tierra Firme,TF3,4b,777,NO,Euphorbiaceae,Hevea guianensis Aubl.,Hevea,guianensis,0,0,0,0,0,,0,2010-01-08,2010,24.160714285714285,491.00000000000017,Hevea,Estrella Comercial - Industrial
2424,1,Bosque de Tierra Firme,TF3,5a,785,NO,Fabaceae,Copaifera reticulata Ducke,Copaifera,reticulata,0,0,0,0,0,,0,2010-01-08,2010,24.160714285714285,491.00000000000017,Copaifera,Estrella Comercial - Industrial
